gene_ID,C_0,C_15,C_30,C_60,S_0,S_15,S_30,S_60,WT_0,WT_15,WT_30,WT_60,log2fc_C_0_WT_0,log2fc_C_15_WT_15,log2fc_C_30_WT_30,log2fc_C_60_WT_60,log2fc_S_0_WT_0,log2fc_S_15_WT_15,log2fc_S_30_WT_30,log2fc_S_60_WT_60,qC_0_WT_0,qC_15_WT_15,qC_30_WT_30,qC_60_WT_60,qS_0_WT_0,qS_15_WT_15,qS_30_WT_30,qS_60_WT_60,cluster
AT1G22340,0.974604,0.941427,1.31028,1.04072,0.942092,0.772245,0.816802,0.854588,2.57678,2.17672,2.5369,2.6218,1.40268,1.20923,0.953192,1.33297,1.45163,1.49502,1.63501,1.61726,0.141993,0.379342,0.475731,0.152067,0.114225,0.231434,0.0924983,0.0486053,1
AT1G29640,8.87793,7.69973,4.03262,4.75689,8.22616,5.31681,6.41872,3.00147,14.5401,6.59082,12.9858,14.2159,0.711745,-0.22435,1.68714,1.57942,0.821749,0.309896,1.01658,2.24376,0.536947,0.999842,0.0146178,0.0309671,0.382358,0.999842,0.191898,0.00748685,1
AT1G29720,1.92496,1.11329,2.70566,2.1361,1.38657,1.28715,2.01501,1.64808,6.72743,5.13634,8.26171,11.865,1.80523,2.20591,1.61046,2.47365,2.27854,1.99656,2.03565,2.84785,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,1
AT1G30250,0.328247,0,0.309483,0,0.0814035,0.185117,0,0,7.9722,7.90888,8.12409,12.0261,4.60213,65535,4.71427,65535,6.61374,5.41697,65535,65535,0.0990192,0.00225554,0.23665,0.00225554,0.754468,0.670519,0.00225554,0.00225554,1
AT1G30280,0.621243,0.233229,0.322726,0.326248,0.36023,0.495915,0.229056,0.408608,1.90377,2.10542,1.97073,2.48906,1.61563,3.17429,2.61035,2.93156,2.40187,2.08594,3.10496,2.60681,0.12336,0.00748685,0.0232287,0.316473,0.0196585,0.0751204,0.00901084,0.0104867,1
AT1G31350,3.28289,2.54965,2.65432,1.5836,1.94111,2.14984,1.68842,1.42456,16.6739,14.5128,15.716,9.46087,2.34455,2.50895,2.56582,2.57876,3.10263,2.75502,3.21849,2.73146,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,0.00225554,1
AT1G44800,14.2184,11.2294,11.5331,10.8262,13.8197,8.84727,12.6026,10.7421,22.4121,19.7163,19.3176,24.2701,0.656519,0.812105,0.744134,1.16465,0.697551,1.15609,0.616192,1.1759,0.362988,0.355906,0.349282,0.0196585,0.295938,0.0371458,0.542702,0.0184341,1
AT1G47510,8.63873,18.016,10.1099,5.58757,13.1698,14.6871,23.7126,8.40043,14.1457,13.6717,20.2547,20.4691,0.711468,-0.398083,1.00249,1.87316,0.103127,-0.103354,-0.227397,1.28491,0.618631,0.999842,0.305573,0.00587253,0.999842,0.999842,0.999842,0.120767,1
AT1G49160,0.473134,0.126156,0.198173,0.319692,0.420246,0.33591,0.296882,0.251642,1.71109,0.798203,1.30853,1.50519,1.85459,2.66155,2.72311,2.23519,2.02561,1.24868,2.13999,2.5805,0.0243883,0.0558756,0.00748685,0.0196585,0.0196585,0.455106,0.0220541,0.00225554,1
AT1G56580,63.0658,78.4539,72.2116,64.3296,59.4506,53.394,51.135,67.0895,102.686,144.336,115.271,104.117,0.703314,0.879514,0.674726,0.694656,0.788479,1.43468,1.17264,0.634052,0.212651,0.12336,0.298437,0.233755,0.116902,0.00225554,0.00748685,0.33453,1
