gene_ID,WT_0,WT_15,WT_30,WT_60,log2fc_WT_0_WT_15,log2fc_WT_0_WT_30,log2fc_WT_0_WT_60,log2fc_WT_15_WT_30,log2fc_WT_15_WT_60,log2fc_WT_30_WT_60,qWT_0_WT_15,qWT_0_WT_30,qWT_0_WT_60,qWT_15_WT_30,qWT_15_WT_60,qWT_30_WT_60,cluster
AT1G44100,26.115,62.6073,47.8145,36.5995,1.26145,0.872571,0.486945,-0.388881,-0.774507,-0.385625,0.00225554,0.0917893,0.679111,0.999842,0.212178,0.956447,9
AT1G44350,17.7727,69.2241,47.596,84.9327,1.96161,1.42117,2.25665,-0.540436,0.295045,0.835481,0.00225554,0.00225554,0.00225554,0.787987,0.999842,0.127806,8
AT1G45010,18.1548,19.9087,12.9145,8.74177,0.133046,-0.491362,-1.05435,-0.624408,-1.1874,-0.562992,0.999842,0.836479,0.0661732,0.665555,0.0458466,0.749616,2
AT1G45145,46.7647,34.1913,44.7667,128.497,-0.451791,-0.0629926,1.45824,0.388798,1.91003,1.52124,0.93907,0.999842,0.00225554,0.999842,0.00225554,0.00225554,1
AT1G48000,2.31643,0.808009,2.00877,6.32302,-1.51946,-0.205586,1.44871,1.31387,2.96817,1.6543,0.352209,0.999842,0.239866,0.551605,0.00587253,0.152627,1
AT1G49000,0.977759,7.28603,11.3447,38.8148,2.89758,3.5364,5.31098,0.638817,2.4134,1.77458,0.0196585,0.00225554,0.00225554,0.870667,0.00225554,0.00225554,1
AT1G49130,0.449204,0.941281,0.215349,2.33447,1.06726,-1.06069,2.37765,-2.12795,1.3104,3.43834,0.853968,0.933828,0.0558756,0.219535,0.387463,0.00901084,6
AT1G49500,39.1215,29.5475,34.7641,66.1691,-0.404925,-0.170367,0.758195,0.234558,1.16312,0.928562,0.999842,0.999842,0.293446,0.999842,0.0208548,0.0968403,1
AT1G49660,47.1253,42.2162,38.7139,19.0591,-0.158705,-0.283652,-1.30602,-0.124947,-1.14732,-1.02237,0.999842,0.999842,0.00225554,0.999842,0.0196585,0.0196585,2
AT1G50750,0.0665035,2.12966,0.668567,0.506834,5.00105,3.32957,2.93001,-1.67148,-2.07104,-0.39956,0.00748685,0.028818,0.054991,0.0644722,0.0118963,0.999842,9
AT1G51790,0.92247,0.118717,0.710345,5.06097,-2.95797,-0.376981,2.45584,2.58099,5.41381,2.83282,0.015928,0.999842,0.00225554,0.0410864,0.00225554,0.00225554,1
AT1G51805,37.6685,48.6551,73.6056,91.5506,0.369234,0.966459,1.28121,0.597225,0.911978,0.314753,0.999842,0.0243883,0.00225554,0.519608,0.108806,0.999842,3
AT1G51820,0.26008,1.12049,2.06605,9.272,2.1071,2.98985,5.15585,0.882746,3.04875,2.16601,0.0805217,0.00225554,0.00225554,0.632862,0.00225554,0.00225554,1
AT1G51850,0.181617,0.0563577,0.23069,1.53369,-1.68822,0.345053,3.07803,2.03327,4.76625,2.73298,1,1,0.00225554,1,0.0277452,0.00587253,1
AT1G51860,1.09485,0.177142,1.20909,1.69992,-2.62775,0.143198,0.634742,2.77095,3.26249,0.491545,0.0243883,0.999842,0.948658,0.0184341,0.00587253,0.999842,3
AT1G51890,1.18491,0.195373,1.52136,8.98727,-2.60048,0.360583,2.92311,2.96106,5.52358,2.56252,0.0171885,0.999842,0.00225554,0.0118963,0.00225554,0.00225554,1
AT1G52000,58.8103,91.95,86.7374,160.245,0.644783,0.560586,1.44614,-0.0841967,0.801358,0.885554,0.486226,0.677992,0.00225554,0.999842,0.203282,0.130284,1
AT1G52030,0.415164,2.87493,2.11592,7.75412,2.79177,2.34953,4.22321,-0.442244,1.43144,1.87368,0.00225554,0.00587253,0.00225554,0.999842,0.0118963,0.00225554,1
AT1G52040,18.2796,29.2669,25.1714,92.5305,0.679031,0.461547,2.33969,-0.217484,1.66066,1.87814,0.599983,0.937424,0.00225554,0.999842,0.00225554,0.00225554,1
AT1G52200,3.81782,1.56035,5.53718,26.6794,-1.29088,0.536401,2.80491,1.82728,4.09579,2.2685,0.368692,0.999842,0.00225554,0.0644722,0.00225554,0.00225554,1
AT1G52560,1.12534,3.11575,10.7597,1.00985,1.46922,3.2572,-0.156219,1.78798,-1.62544,-3.41342,0.407848,0.00225554,0.999842,0.110213,0.897918,0.3515,7
AT1G52565,4.89071,4.26633,2.50072,9.61679,-0.197048,-0.967699,0.975512,-0.770651,1.17256,1.94321,0.999842,0.588718,0.559614,0.900594,0.404478,0.0243883,1
AT1G52680,0.0502828,0,0.0448634,0.725649,65535,-0.164525,3.85114,65535,65535,4.01566,1,1,0.767225,1,0.00225554,0.860525,1
AT1G52890,25.4978,9.40817,19.8836,61.3638,-1.43838,-0.358788,1.26702,1.0796,2.7054,1.62581,0.0495276,0.999842,0.148489,0.250005,0.00225554,0.028818,1
AT1G53620,0.226674,0,0.115619,1.03545,65535,-0.971242,2.19156,65535,65535,3.16281,1,1,0.766404,1,0.00587253,0.737561,1
AT1G53625,5.06083,3.23532,7.28281,52.5489,-0.645465,0.525123,3.37622,1.17059,4.02168,2.85109,0.999842,0.999842,0.00225554,0.503504,0.00225554,0.00225554,1
AT1G54010,0.243614,6.14909,5.78841,10.2903,4.6577,4.5705,5.40055,-0.0872061,0.742845,0.830051,0.00225554,0.00225554,0.00225554,0.999842,0.665003,0.334145,8
AT1G54020,0.147856,0.639886,0.483314,2.22431,2.11362,1.70877,3.91109,-0.404855,1.79747,2.20233,0.854632,0.903186,0.392044,0.999842,0.164776,0.0255307,1
AT1G54050,81.6838,197.064,264.521,20.6249,1.27054,1.69526,-1.98566,0.424718,-3.25621,-3.68092,0.00901084,0.00225554,0.00225554,0.999842,0.00225554,0.00225554,7
AT1G55330,118.702,103.876,47.3703,124.316,-0.192485,-1.32529,0.0666617,-1.13281,0.259147,1.39195,0.999842,0.0309671,0.999842,0.0789703,0.999842,0.00587253,6
AT1G55450,15.3154,139.599,204.684,327.335,3.18823,3.74034,4.41771,0.552109,1.22948,0.677369,0.00225554,0.00225554,0.00225554,0.700905,0.0476943,0.542924,8
AT1G55530,28.331,35.1665,42.4484,20.7104,0.311822,0.583329,-0.452023,0.271507,-0.763845,-1.03535,0.999842,0.533006,0.755859,0.999842,0.270162,0.0330747,7
